,Element-type,Size,Shape,Data-type
AwakeEventData/PMOTOR02/Acquisition,group,,,
AwakeEventData/PMOTOR02/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR03,group,,,
AwakeEventData/PMOTOR03/Acquisition,group,,,
AwakeEventData/PMOTOR03/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR04,group,,,
AwakeEventData/PMOTOR04/Acquisition,group,,,
AwakeEventData/PMOTOR04/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR05,group,,,
AwakeEventData/PMOTOR05/Acquisition,group,,,
AwakeEventData/PMOTOR05/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR06,group,,,
AwakeEventData/PMOTOR06/Acquisition,group,,,
AwakeEventData/PMOTOR06/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR13,group,,,
AwakeEventData/PMOTOR13/Acquisition,group,,,
AwakeEventData/PMOTOR13/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR14,group,,,
AwakeEventData/PMOTOR14/Acquisition,group,,,
AwakeEventData/PMOTOR14/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR15,group,,,
AwakeEventData/PMOTOR15/Acquisition,group,,,
AwakeEventData/PMOTOR15/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/PMOTOR16,group,,,
AwakeEventData/PMOTOR16/Acquisition,group,,,
AwakeEventData/PMOTOR16/Acquisition/position,dataset,1.0,"(1,)",int32
AwakeEventData/Plunger.412401,group,,,
AwakeEventData/Plunger.412401/StartCounterSt,group,,,
AwakeEventData/Plunger.412401/StartCounterSt/value,dataset,1.0,"(1,)",int32
AwakeEventData/Plunger.412401/State,group,,,
AwakeEventData/Plunger.412401/State/value,dataset,1.0,"(1,)",int16
AwakeEventData/Plunger.412422,group,,,
AwakeEventData/Plunger.412422/StartCounterSt,group,,,
AwakeEventData/Plunger.412422/StartCounterSt/value,dataset,1.0,"(1,)",int32
AwakeEventData/Plunger.412422/State,group,,,
AwakeEventData/Plunger.412422/State/value,dataset,1.0,"(1,)",int16
AwakeEventData/RADMON.AWAKE-1,group,,,
AwakeEventData/RADMON.AWAKE-1/Acquisition,group,,,
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1HadronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1MBUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1SEUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2HadronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2MBUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2SEUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumNeutronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar3,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/lParType,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-1/Acquisition/pinDiodeType,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet1Type,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet2Type,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/radmonStatus,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionNumber,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionType,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2,group,,,
AwakeEventData/RADMON.AWAKE-2/Acquisition,group,,,
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1HadronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1MBUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1SEUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2HadronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2MBUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2SEUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumNeutronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar3,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/lParType,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-2/Acquisition/pinDiodeType,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet1Type,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet2Type,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/radmonStatus,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionNumber,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionType,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3,group,,,
AwakeEventData/RADMON.AWAKE-3/Acquisition,group,,,
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1HadronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1MBUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1SEUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2HadronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2MBUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2SEUCounts,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumNeutronFluence,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar1,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar2,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar3,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/lParType,dataset,1.0,"(1,)",float64
AwakeEventData/RADMON.AWAKE-3/Acquisition/pinDiodeType,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet1Type,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet2Type,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/radmonStatus,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionNumber,dataset,1.0,"(1,)",int32
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionType,dataset,1.0,"(1,)",int32
AwakeEventData/RPADA.BB4.RQNI.412432,group,,,
AwakeEventData/RPADA.BB4.RQNI.412432/MEAS.I,dataset,1.0,"(1,)",float32
AwakeEventData/RPADA.BB4.RQNI.412432/REF.I,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412344,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412345,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412347,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412349,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.412353,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430011,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430029,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430040,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430104,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430130,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430204,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBH.430309,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412344,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412345,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412347,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412349,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.412353,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430011,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430029,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430040,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430104,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430130,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430204,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RCIBV.430309,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.412344,group,,,
AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.412347,group,,,
AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430031,group,,,
AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430037,group,,,
AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQID.430109S,group,,,
AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.412346,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430034,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430118,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430205,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPCAH.TSG4.RQIF.430311,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition,group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPPEF.BB4.RBIH.412435,group,,,
AwakeEventData/RPPEF.BB4.RBIH.412435/MEAS.I,dataset,1.0,"(1,)",float32
AwakeEventData/RPPEF.BB4.RBIH.412435/REF.I,dataset,1.0,"(1,)",float32
AwakeEventData/RPSKN.TSG4.SNH.430000,group,,,
AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition,group,,,
AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/RPSKN.TSG4.SNJ.430001,group,,,
AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition,group,,,
AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition/currentAverage,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435,group,,,
AwakeEventData/SPS.BCTDC.41435/Acquisition,group,,,
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqDesc,dataset,1.0,"(1,)",|S1
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqMsg,dataset,1.0,"(1,)",|S32
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqState,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqTime,dataset,1.0,"(1,)",|S25
AwakeEventData/SPS.BCTDC.41435/Acquisition/calMarkerData,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/cycleTime,dataset,1.0,"(1,)",|S1
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpCycleTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpInt,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/inCheckStatusData,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/lowIbStatusData,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp,dataset,940.0,"(940,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unit,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unitExponent,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfAdcData,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfMeas,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/range1Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range2Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range3Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/range4Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.41435/Acquisition/samplingTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfCycleTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfIntensity,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/selectedRange,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowCycleTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowExtInt,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/superCycleNb,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity,dataset,940.0,"(940,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity4Ranges,dataset,4480.0,"(4, 1120)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unit,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unitExponent,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.41435/Acquisition/vmodStatus,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895,group,,,
AwakeEventData/SPS.BCTDC.51895/Acquisition,group,,,
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqDesc,dataset,1.0,"(1,)",|S1
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqMsg,dataset,1.0,"(1,)",|S32
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqState,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqTime,dataset,1.0,"(1,)",|S25
AwakeEventData/SPS.BCTDC.51895/Acquisition/calMarkerData,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/cycleTime,dataset,1.0,"(1,)",|S1
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpCycleTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpInt,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/inCheckStatusData,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/lowIbStatusData,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp,dataset,940.0,"(940,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unit,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unitExponent,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray1,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray2,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfAdcData,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfMeas,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/range1Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range2Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range3Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/range4Data,dataset,1120.0,"(1120,)",int16
AwakeEventData/SPS.BCTDC.51895/Acquisition/samplingTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfCycleTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfIntensity,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/selectedRange,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowCycleTime,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowExtInt,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/superCycleNb,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity,dataset,940.0,"(940,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity4Ranges,dataset,4480.0,"(4, 1120)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unit,dataset,1.0,"(1,)",int32
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unitExponent,dataset,1.0,"(1,)",float32
AwakeEventData/SPS.BCTDC.51895/Acquisition/vmodStatus,dataset,1.0,"(1,)",int32
AwakeEventData/SPSBQMSPSv1,group,,,
AwakeEventData/SPSBQMSPSv1/Acquisition,group,,,
AwakeEventData/SPSBQMSPSv1/Acquisition/beamOk,dataset,1.0,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bqmOutputEnable,dataset,1.0,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensities,dataset,288.0,"(288,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMax,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMaxThr,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMean,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMin,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMinThr,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndex,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexOk,dataset,1.0,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexThr,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityOk,dataset,1.0,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityStd,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMax,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMaxThr,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMean,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMin,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMinThr,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthOk,dataset,1.0,(),bool
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStd,dataset,1.0,"(1,)",float32
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdOk,dataset,1.0,(),bool
